"","Species","Chromosome","Gene_length","No.of_exon","Exon(bp)","Coding_region_(bp)","Intron(bp)","UTR(bp)"
"1","Homo sapiens","12",31272,11,3135,2442,28137,693
"2","Pan troglodytes","12",31245,11,3337,2620,27908,717
"3","Macaca mulatta","11",32901,11,3131,2446,29770,685
"4","Canis lupus familiaris","27",51108,11,1655,1296,49453,359
"5","Bos taurus","5",23462,11,3170,2491,20292,679
"6","Sus scrofa","5",26419,10,2668,2131,23751,537
"7","Monodelphis domestica","8",40545,14,3916,2824,36629,1092
"8","Oryctolagus cuniculus","8",23491,10,1497,1218,21994,279
"9","Mus musculus","6",23555,10,3086,2388,20469,698
"10","Rattus norvegicus","4",26489,11,3192,2480,23297,712
"11","Gallus gallus","1",11472,11,1989,1493,9483,496
